C¢digo de Barras;Tipo de Produto;Descriá∆o;Preáo de Custo;Preáo Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque m°nimo;Quantidade em Estoque;Marca;Modelo;C¢digo Balanáa;C¢digo Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Bot∆o PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preáo De;Preáo Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descriá∆o do Produto;Garantia;Itens Inclusos;Especificaá‰es
7,89E+12;Produto;TODDYNHO CHOC TRADICIONAL 200 ML;2.14;3.50;Unidade;Sim;;;Sim;0.000;227.000;;;;;;Mercadoria para Revenda;22029900;NACIONAL;;;;;;;0.00;3.50;0.000;0.000;0.000;0.000;;;;
1111111111;Produto;queijo pecorino;24.45;40.00;Unidade;N∆o;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;40.00;0.000;0.000;0.000;0.000;Cadastro autom†tico sincronizaá∆o PDV (09/09/2020);;;
7,89E+12;Produto;CERVEJA BUDWEISER 550ml ONE WAY;6.49;9.00;Unidade;N∆o;;;N∆o;0.000;0.000;;;;;;;22030000;;;;;;;;0.00;9.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;GUARANA PET 200ML;1.00;2.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;2.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;soda limondada pet 200ml;0.82;1.25;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;pepsi pet 200ml;0.95;2.00;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;2.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;DUNHILL CARLTON BOX 20/200 BC;10.14;11.50;Unidade;Sim;;;Sim;0.000;-153.000;;;;;;Mercadoria para Revenda;24022000;NACIONAL;400100;;;;;;0.00;11.50;0.000;0.000;0.000;0.000;;;;
78942066;Produto;LUCKY STRIKE DOUBLE FRESH BOX 20/200 EG;8.75;10.50;Unidade;Sim;;;Sim;0.000;-263.200;;;;;;Mercadoria para Revenda;24022000;NACIONAL;400100;;;;;;0.00;10.50;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;LUCKY STRIKE RED ORIG BOX 20/200 PL;8.06;9.25;Unidade;Sim;;;Sim;0.000;-11.400;;;;;;Mercadoria para Revenda;24022000;NACIONAL;400100;;;;;;0.00;9.25;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;ROTH BLUE MACO 20/200 HW18;232.90;254.99;Unidade;N∆o;;;Sim;0.000;3.400;;;;;;Mercadoria para Revenda;24022000;NACIONAL;400100;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;ROTH RED 20/200 KRE SC BRA HW18;5.25;6.50;Unidade;Sim;;;Sim;0.000;-23.000;;;;;;Mercadoria para Revenda;24022000;NACIONAL;400100;;;;;;0.00;6.50;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;MILHO EM CONSERVA 255G MINAS +;1.86;2.69;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;ERVILHA EM CONSERVA 200G MINAS +;1.86;2.69;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
